"FAOST_CODE","ADESA","DFPLI.IN.NO","DFPLIV.IN.NO","EN.POP.DNST","FB.FS.CRLS.KCD.NO","FB.PSQ.AO.GCD.NO","FB.PSQ.GT.GCD.NO","IS.ROD.DNST.K2","IS.RRS.DNST.K2","NY.GDP.MKTP.CD","PCFPV.IN.NO","POPULATION","POU","QV.NPV.FOOD.ID.NO","RL.AREA.EQIRR.HA.SHL","SFEP.NO","SH.H2O.SAFE.ZS","SH.STA.ACSN","SH.STA.MALN.ZS","SH.STA.STNT.ZS","SH.STA.WAST.ZS","SI.POV.DDAY","SI.POV.GINI","SI.POV.NAHC","SI.POV.RUHC","SP.RUR.TOTL.ZS","TI.IV.FEFTMT.USD.NO","Year","FAO_TABLE_NAME","UNSD_MACRO_REG","UNSD_SUB_REG","BY.GDP.MKTP.PCAP"
28,0.436473359884817,0.0167485596313335,0.00369376804624081,0.626322044080836,0.125321945503271,0.490784522621798,0.00107601142041437,0.00509565557926915,0.00139085281532092,0.0468156650217459,0.0383345191453016,0.404337538234019,0.0616197936391082,0.219567236633567,0.82519644407591,0.786804036297167,0.72816653363782,0.399002319553836,0.508105170541359,0.321258003472485,0.274010387571639,0.443853230838725,0.423178028199305,0.442346389583511,0.750795135624642,0.00700040665316203,0.998507462686567,2007,"Myanmar","Asia","South-Eastern Asia",0.504494077957503
28,0.430120471014924,0.0165932729512877,0.0037209481313236,0.619278159184183,0.132572299227018,0.49870501329831,0.00126742879314838,0.00493007510307549,0.0015942658521609,0.0517438831889318,0.0385970595192804,0.371618948460305,0.0640259891593197,0.20912339347709,0.80870724549086,0.790749990539415,0.718901991645328,0.358163453124737,0.488518276066974,0.293679416426321,0.266688700538085,0.456437050267834,0.401700566295825,0.434731165066912,0.74433669297654,0.00710484611973279,0.999004975124378,2008,"Myanmar","Asia","South-Eastern Asia",0.515264767676986
28,0.422422061273179,0.0167687485830185,0.00374986247063634,0.607962256839765,0.137154832180662,0.501633364590559,0.00156871186845619,0.00483780300279529,0.00180385654282979,0.0596139127801246,0.0388711357450274,0.340068896704719,0.0656248252349733,0.19431598911194,0.792242178932805,0.789822823937292,0.70016301454766,0.316116646249966,0.468506405043569,0.268183457856963,0.268809373255602,0.470660002655567,0.384597198374199,0.430841480795061,0.737011895741447,0.00737761928492375,0.999502487562189,2009,"Myanmar","Asia","South-Eastern Asia",0.524936280710792
28,0.413544806044829,0.017370312071522,0.00378129459625679,0.592817622517445,0.138228970159835,0.499069224487966,0.00204584948517866,0.00483283290709027,0.00199710917834194,0.0713884282588201,0.0391590911449339,0.309886095667292,0.0661559744133683,0.175764688166638,0.776317588532516,0.782928919834856,0.670213171094258,0.275524363935853,0.448930048478008,0.246884075896231,0.281617316765286,0.486084012056984,0.374015975872394,0.432738708952875,0.728482782593127,0.00786941989603713,1,2010,"Myanmar","Asia","South-Eastern Asia",0.532776740082541
29,0.500557495665555,0.0322143038637204,0.0114935605438599,0.121061396242275,0.0189894301680349,0.382214504853728,0.0112837415355573,0.0215877748497568,6.94528186533848e-05,0.138635374502097,0.00497801320433753,0.737356564266042,0.00370406859548221,0.0187108276208073,0.761258789357861,0.707211564634448,0.436008241682802,0.222353733941468,0.600818008023881,0.173569264435389,0.819920783691424,0.516313004234779,0.451045078400337,0.333522583979398,1,0.0317585974378597,0.992537313432836,1995,"Burundi","Africa","Eastern Africa",0.425111600252384
29,0.495772354992349,0.028507382772274,0.0116025013954075,0.120666878197024,0.017812596146289,0.371411888073104,0.0115626109737843,0.026295630932444,6.42779194141907e-05,0.112509910715822,0.00499790877722836,0.744846824425768,0.00368901220899795,0.0194730558054295,0.791751463237595,0.709715174287372,0.44000255596152,0.266090830980497,0.651424412851419,0.185906821927885,0.859741183411283,0.516409146944366,0.5435654090805,0.39588483282636,0.997853241301102,0.0322269332931171,0.993034825870647,1996,"Burundi","Africa","Eastern Africa",0.418348698598473
29,0.491201225120758,0.0262135103411919,0.0117455448161777,0.120441938673341,0.01686240158727,0.361546959339963,0.0117945506699488,0.0302398714376017,6.05213622228305e-05,0.093913201614258,0.00503258083510288,0.753709474644206,0.00368305954853174,0.0201976123534956,0.811957313163687,0.712186558141477,0.443999406257203,0.313747935875717,0.697264425477357,0.200045964854841,0.889251262292382,0.515000492867966,0.617919593373571,0.450220907309967,0.995664853573542,0.0334745379867621,0.993532338308458,1997,"Burundi","Africa","Eastern Africa",0.412772505341065
29,0.486705809236494,0.0253016670670666,0.011925387525618,0.120398943196785,0.0161041728472495,0.352478895544904,0.0119568976620492,0.0325146262444741,5.79288191651957e-05,0.0812588624693993,0.00508298566167218,0.764078589705574,0.00368731879428593,0.0208751474863891,0.821202843930077,0.714626461577771,0.447998102771239,0.365560634858498,0.737712351060313,0.217214997892077,0.910211196245377,0.511379672261065,0.670887819524301,0.492330364030073,0.993435802786134,0.0358305729132141,0.994029850746269,1998,"Burundi","Africa","Eastern Africa",0.408308164812805
29,0.482565218398723,0.0251782545211654,0.0121413086872579,0.120535495641995,0.0155268999316578,0.344316180271494,0.0120850564650258,0.0332755996062376,5.64564644621615e-05,0.0720425584541433,0.00514856315087008,0.775690038166598,0.00369949033574513,0.0215051294579446,0.822835241595947,0.71703462739744,0.451998383111828,0.418279811628967,0.772352624649444,0.235838996265194,0.924259512010913,0.50673300885756,0.70706786950758,0.523930554790584,0.991164032633195,0.0390109754185273,0.99452736318408,1999,"Burundi","Africa","Eastern Africa",0.405104968050085
29,0.478613396173606,0.0261262733935444,0.0123963864219844,0.120821196157785,0.0151372191681575,0.336691653881997,0.0121302956973396,0.0315565217142657,5.59653750488093e-05,0.0656427734358219,0.00523040744763813,0.78928531500383,0.00371942277469531,0.0220890896972475,0.814649542963537,0.71940760702153,0.455999437299477,0.477044238958221,0.803846121376737,0.259649085627134,0.932680844808253,0.50043192398629,0.727311816254369,0.544179940333909,0.988852488930159,0.0437855984794682,0.995024875621891,2000,"Burundi","Africa","Eastern Africa",0.403069282559489
